id;area;city;state;state_code;country;country_code;zip_code;lat;lon;continent;continent_code;point
1;Granite;North Theresa;red redundant calculate;ROI exploit;Chad;DO;04509;76142;38135;Factors;Clothing Tasty Chad;infrastructures
2;Wooden;Tonawanda;orchid up;Optimization Planner;Djibouti;CR;79554;1146;19296;Rubber distributed holistic;Run Swaziland Bacon;bluetooth
3;microchip;New Maudeland;invoice Bacon;grow real-time Dollar;Indonesia;ZW;64888-3264;31648;11759;Iceland value-added Bedfordshire;Organized Account XSS;Meadows benchmark gold
4;schemas Quality Nepalese;Surprise;deposit Dakota e-commerce;dot-com Sausages back;Mali;AM;89309-4429;7079;78416;Guam;Inlet Awesome;Pound
5;override;North Hermantown;Concrete;transform deposit Computers;Guinea-Bissau;GP;52024-5637;22096;86734;Tactics;bandwidth Steel Cloned;Fish Ball
6;Baby Bedfordshire Route;St. Peters;Plastic mission-critical;Won Real Guadeloupe;Guatemala;TF;07480;54881;55711;Concrete;capacitor navigate Chile;Peso one-to-one
7;digital interactive grey;Kuhicmouth;parsing Paradigm;connect Honduras invoice;Cambodia;BD;46834-4279;29041;80737;markets;Credit;Malagasy Metical Analyst
8;open USB functionalities;West Katheryn;Music Home Norwegian;Technician streamline;Madagascar;BW;83267;83876;89690;Plastic;Bedfordshire circuit;SMS
9;Bahamas Lead intranet;Lake Nova;incentivize ROI Card;enterprise;Fiji;JE;76706-0424;37373;11443;Cotton Human;haptic;Rufiyaa
10;Hat backing;West Orlandomouth;portals;Timor-Leste open-source;Germany;CR;76450-4618;98974;91235;Chair withdrawal whiteboard;Robust Isle;Buckinghamshire Rustic reboot
