id;name;org_name;about;link;org_ur_ls;owner_user_id;main_phone_number;alt_phone_numbers;main_contact_email;alt_contact_emails;status;enable_auto_join;max_users;tags;domains
1;Frozen Qatar CFP;Adaptive quantifying quantifying;firewall;revolutionize;teal data-warehouse Tactics;10766;red;cross-platform;Automotive Implementation;Orchard Global Synchronised;Games Awesome Chips;true;65945;Avon Row Account;teal Money
2;benchmark;Cheese;Account yellow scale;Pizza monetize;Licensed Intelligent;39879;archive navigate Bacon;optical collaborative deposit;Borders;tan;Home Account;false;49456;wireless Chair;connect object-oriented
3;withdrawal;product applications;back Plastic;orchid Factors;copy Garden Plastic;83307;discrete Tools;bypass compressing;open-source redundant Dollar;Garden Cambridgeshire policy;Grenada quantify non-volatile;false;16881;Hungary calculate;Indonesia instruction
4;Ergonomic payment;plug-and-play maroon;platforms compressing;Kids;Cocos circuit;22477;Junctions attitude Square;heuristic harness XML;Missouri ROI structure;Computers seize;circuit Orchestrator Plaza;true;49554;transparent;payment open-source Chief
5;Cliff Principal;blockchains Mouse client-server;Dram;Account;Lesotho Pizza reboot;17230;Metrics Causeway attitude-oriented;Cheese;Bacon;deliver;moratorium Lithuanian;false;62188;Car;Strategist Cambridgeshire Jewelery
6;Practical;Money;Bedfordshire intermediate web-readiness;Flats;Kenyan SCSI;7686;Interface Credit;program;blue pink;purple e-tailers Borders;Gorgeous AGP;false;23546;Shores Small Dynamic;Implemented Hawaii
7;reboot lime SCSI;Applications;methodical Buckinghamshire array;Australian Chair Salad;Dollar Illinois International;70770;hack;Streets;fuchsia Keyboard Club;Chicken SDD sky;Account Islands;false;43615;Awesome Dollar state;optimize viral Reactive
8;auxiliary deg real-time;pink withdrawal driver;Loan next;Internal;Garden;65097;Account e-business;compress Granite Plastic;Generic;EXE Georgia Colorado;wireless compressing Analyst;false;63540;Computers Guiana;Market Communications
9;Hill Ranch Beauty;system-worthy Incredible back-end;navigate Account Rica;facilitate Macedonia silver;Mountain;82566;Borders Down-sized Metal;cross-platform Assurance;user-facing virtual connecting;Chicken;Table;true;38959;invoice;USB defect
10;Poland Steel;Dollar) cross-platform circuit;Personal transmit;benchmark;Strategist Shoes indexing;13365;Pizza hacking;Virginia;bypassing;Senior collaboration data-warehouse;bi-directional Agent;true;87229;Virginia;Fresh Functionality
