id;unit_name;address;mobile_contact;office_contact;office_contact_extn;area;city;state;state_code;country;country_code;zip_code;lat;lon;continent;continent_code;point
1;Bouvet Borders Iowa;Human;Burundi Tools;Soft;Virginia monitoring;Frozen Cotton Rubber;West Deangelo;Senegal matrix;Global SSL;Slovenia;TV;02837-7462;30649;67905;JSON;engineer connect;Dirham Implemented
2;Integration Toys Dollar;navigating;pixel Verde primary;bus;circuit Specialist Myanmar;AGP parsing evolve;Monserrateside;HDD Open-source;incremental;Turkmenistan;RS;80215-4047;535;3155;Lead;Hampshire;Frozen FTP
3;Sleek Clothing mission-critical;Shoes Village;Practical;Clothing Kroon;Agent Refined copying;New;South Jaron;Streamlined Checking index;Automated Kip hack;Svalbard & Jan Mayen Islands;SB;30444;79824;22590;Chicken Pants;Avon azure global;Faroe hacking
4;Rupee Islands Small;Massachusetts bypass hard;alarm;multi-byte Bedfordshire;Markets turquoise;Washington Concrete Security;New Norberto;Frozen;e-tailers ADP Jordanian;Vanuatu;DJ;86990-5517;75960;54974;calculating Borders;array Nuevo;plum deposit
5;Incredible programming;Manors;Agent Singapore National;sensor Nuevo;archive;Loan;Dallas;Buckinghamshire web-readiness Vanuatu;Terrace connecting Sleek;Virgin Islands, British;LV;55515;3507;94475;Metal Principal;Paradigm;turn-key
6;project;users PCI copying;connect generating;Market;Chips;Dominican New;Luciousfort;Principal Web Gorgeous;Baby;Sri Lanka;RS;20273;67537;88794;Fish Account;Borders;networks radical
7;client-driven content Cheese;harness;empower Indonesia Proactive;Health empowering e-markets;hardware calculating AI;Vista;Cathedral City;violet;Guinea clicks-and-mortar;Ecuador;LT;00888-0611;42390;84469;up schemas;Hills Health;drive
8;Direct exuding;impactful Garden;up Taka;Data;GB;purple transparent;Apple Valley;Cambridgeshire Forges;Cross-platform Fresh;Mauritius;TG;66877;6616;60717;Card;olive matrices content;hybrid collaborative
9;haptic e-business Overpass;Refined Senegal;payment initiatives niches;Tuna HDD green;challenge invoice;Practical bus;Palo Alto;feed monitor visionary;Intranet Ridge;Falkland Islands (Malvinas);MK;51383-1418;61760;43025;Pants Account holistic;deposit;Virginia
10;bypass;Marketing;Engineer;RAM Account vortals;Upgradable;salmon e-tailers Cotton;Altenwerthfurt;applications SDD Granite;Music;Portugal;MN;27295;86774;52958;Global wireless generating;Computer;visionary
