id;name;team_group_email;type;notify_on_job_posting_to_users;notify_on_job_sharing_to_users;notify_on_job_closing_to_users;notify_on_cand_submission_to_users;notify_on_cand_status_change_to_users
1;Nigeria;Analyst;GROUP;group Loan;bottom-line;Devolved payment;Account;niches cutting-edge
2;Awesome edge;Towels Colombian Rustic;TEAM;Buckinghamshire invoice;Music;navigate;Prairie deposit Handmade;Pants Cross-platform Centralized
3;Chips;orange Lesotho Branding;TEAM;Technician;UIC-Franc deploy withdrawal;Loan;Specialist;Street
4;quantify Loan;interfaces Ergonomic;GROUP;Montana;Ergonomic Soft;Money;Director;recontextualize
5;value-added Wyoming Savings;Creative Terrace optical;TEAM;Credit;Assurance Dollar;Corners Dakota;Practical orchid;Marshall maximized forecast
6;Orchard transmitting;Dalasi Computers Branding;GROUP;Synergistic;redefine Roads Borders;24/7 context-sensitive;Mouse Customer Generic;Principal
7;Checking;backing quantify initiatives;TEAM;Savings architecture intranet;cultivate quantifying Bedfordshire;clear-thinking;Upgradable;Integration
8;compressing;Escudo revolutionary;TEAM;Shoes;connect Ergonomic Card;Belarussian;PNG Maine redundant;Officer Practical payment
9;Savings Borders auxiliary;Baby Adaptive Sleek;GROUP;Re-contextualized;primary THX Fresh;lime;deposit RSS;red Mouse multi-byte
10;Toys;array Direct;GROUP;Fresh;invoice improvement Via;Fantastic withdrawal;global;Islands
